E-Number,Name,Alternative Name,Function,Status,Source,Health Info,Uses,Link
E-number: 130, Indanthrene Blue RSAlternative Names :C.I. vat blue 4; carbon paper blue; blue O; carbanthrene blue 2R; fenan blue RSN; graphtol blue RL; medium blue; monolite fast blue 3R; indanthrene; indanthrone; pigment blue 60; or C.I. 69800.Function:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/17/e130-indanthrene-blue-rs/
E-number: 131, Patent Blue VAlternative Names :C.I. 42051Function: ColouringStatus:HalaalSource: synthetic chemical.,Uses:Scotch eggs?Other Uses: Medical diagnostic dye,,Halaal,synthetic chemical.,"Health Code: RedAsthma, gastrointestinal symptoms, anaphylaxis, hives, hyperactivity, allergic reaction, aspirin sensitive people may wish to avoid",Scotch eggs?Other,https://sanha.org.za/2009/12/17/e131-patent-blue-v/
E-number: 132, Indigo CarmineAlternative Names :Indigotine; C.I. 73015; FD&C Blue 2; Food Blue 1.Function: ColouringStatus:HalaalSource: synthetic chemical.,"Uses:Bottled soft drinks, sweets, biscuits, confectionery, ice cream, bakery productsOther Uses: Hair rinses, dye in kidney function tests, tablets and capsules",,Halaal,synthetic chemical.,"Health Code: RedAsthma, allergic reactions, hyperactivity, heart problems, NRC, carcinogenic, see Coal Tar","Bottled soft drinks, sweets, biscuits, confectionery, ice cream, bakery productsOther",https://sanha.org.za/2009/12/17/e132-indigo-carmine/
E-number: 133, Brilliant Blue FCFAlternative Names :C.I. 42090; FD&C Blue 1; Food Blue 2.Function: ColouringStatus:HalaalSource: synthetic chemical,"Uses:Gelatine, canned processed peas, soft drinks, dairy products, cereals, cereals, dessertsOther Uses: Toothpaste, cosmetics, hair dye, deodorant",,Halaal,synthetic chemical,"Health Code: Red++Asthma, hives, hay fever, allergic reactions, NRC, aspirin sensitive people may wish to avoid, carcinogenic","Gelatine, canned processed peas, soft drinks, dairy products, cereals, cereals, dessertsOther",https://sanha.org.za/2009/12/17/e133-brilliant-blue-fcf/
E-number: 140, ChlorophyllAlternative Names :C.I. 75810Function: ColouringStatus:HalaalSource: plants. Check if it contains alcohol.,"Uses:Soups, sauces, olive oil, soybean oilOther Uses: Antiperspirant, deodorant, mouthwash",,Halaal,plants. Check if it contains alcohol.,"Health Code: Greensafe in food use, cancause a sensitivity to light","Soups, sauces, olive oil, soybean oilOther",https://sanha.org.za/2009/12/17/e140-chlorophyll/
E-number: 1400, DextrinAlternative Names :Pyrodextrin; torrefaction dextrin.Function:Status:HalaalSource: Source: hydrolysis of starch.,,,Halaal,,,,https://sanha.org.za/2009/12/17/e1400-dextrin/
E-number: 1401, Modified StarchAlternative Names :Acid treated starch; acid modified starch.Function:Status:HalaalSource: Source: acid treatment of starch.,,,Halaal,,,,https://sanha.org.za/2009/12/17/e1401-modified-starch/
E-number: 1402, Alkaline Modified StarchAlternative Names :Alkaline treated starch.Function:Status:HalaalSource: Source: alkaline treatment of starch.,,,Halaal,,,,https://sanha.org.za/2009/12/17/e1402-alkaline-modified-starch/
E-number: 1403, Bleached StarchAlternative Names :N/AFunction:Status:HalaalSource: Source: starch bleached with SO2 or sulfur dioxide.,,,Halaal,,,,https://sanha.org.za/2009/12/17/e1403-bleached-starch/
E-number: 1404," Oxidised StarchAlternative Names :N/AFunction: Thickener, StabiliserStatus:HalaalSource: Food starch oxidised with sodium hypochlorite.","Uses:Casserolemix, batter mix, confectionery",,Halaal,Food starch oxidised with sodium hypochlorite.,Health Code: YellowUncertainities exist about the safety of modified starches especially in infants,"Casserolemix, batter mix, confectionery",https://sanha.org.za/2009/12/17/e1404-oxidised-starch/
