E-Number,Name,Alternative Name,Function,Status,Source,Health Info,Uses,Link
E-number: 170," Calcium CarbonateAlternative Names :Carbonic acid calcium salt.Function: Colouring, Firming AgentStatus:HalaalSource: minerals argonite, calcite & vaterite.","Uses:Bread, biscuits, confectionery, ice cream, cakes, sweets, canned fruit and vegetablesOther Uses: Cosmetics, face powder, bleaches, vitamin tablets, cigarettes",,Halaal,"minerals argonite, calcite & vaterite.","Health Code: Greensafe in food use at low levels, excess can cause abdominal pain, constipation","Bread, biscuits, confectionery, ice cream, cakes, sweets, canned fruit and vegetablesOther",https://sanha.org.za/2009/12/16/e170-calcium-carbonate/
E-number: 171," Titanium DioxideAlternative Names :C.I. 77891; Unitane.Function: Colouring, OpacifierStatus:HalaalSource: mineral","Uses:Pan sugar coated confectionery, sweets, chewing gum, icing sugar, jam, jelliesOther Uses: Bath powder, face powder, ointment, sunscreen, marker ink, paints",,Halaal,mineral,"Health Code: Yellowsafe in food use, skin contact can cause irritation, limited evidence of cancer in animal studies, see Nanoparticles","Pan sugar coated confectionery, sweets, chewing gum, icing sugar, jam, jelliesOther",https://sanha.org.za/2009/12/16/e171-titanium-dioxide/
E-number: 172, Iron Oxides & Iron HydroxidesAlternative Names :C.I. 77492 (yellow/brown); C.I. 77491 (red); C.I. 77499 (brown)Function: ColouringStatus:HalaalSource: mineral.,"Uses:Salmon and shrimp paste or spread, cake and dessert mixes, meat pasteOther Uses: Pet foods, dying egg shells, face powder, eye make-up",,Halaal,mineral.,"Health Code: YellowIron is potentially toxic in all forms, excess can lead to increased risk of numerous health conditions","Salmon and shrimp paste or spread, cake and dessert mixes, meat pasteOther",https://sanha.org.za/2009/12/16/e172-iron-oxides-iron-hydroxides/
E-number: 173, AluminiumAlternative Names :C.I. 77000; Aluminum.Function: ColouringStatus:HalaalSource: mineral,"Uses:External decoration on cakes, etc.Other Uses: Cosmetics, cooking pots and pans, antiperspirant, silver finish to pills and tablets",,Halaal,mineral,"Health Code: RedIngestion or inhalation can aggravate kidney & lung disorders, cardiovascular, reproductive and neurotoxicity, evidence of a link with Alzheimer's, European Parliament said aluminium additives should be banned","External decoration on cakes, etc.Other",https://sanha.org.za/2009/12/16/e173-aluminium/
E-number: 174, SilverAlternative Names :C.I. 77820;Function: ColouringStatus:HalaalSource: mineral.,"Uses:External decoration on cakes, silver dragees, silver coloured almondsOther Uses: Cosmetics, nail polish",,Halaal,mineral.,"Health Code: YellowToxic in very large doses, should not be consumed, accumulates in tissues, argyria (blue grey skin), kidney damage","External decoration on cakes, silver dragees, silver coloured almondsOther",https://sanha.org.za/2009/12/16/e174-silver/
E-number: 175, GoldAlternative Names :C.I. 77480Function: ColouringStatus:HalaalSource: mineral.,Uses:External decoration on chocolate confectioneryOther Uses: Cosmetics,,Halaal,mineral.,"Health Code: Greensafe in food use, rare allergic reactions, neutrotoxicity",External decoration on chocolate confectioneryOther,https://sanha.org.za/2009/12/16/e175-gold/
E-number: 180, Pigment RubineAlternative Names :Lithol Rubine BK; C.I. 15850.Function: ColouringStatus:HalaalSource: synthetic chemical.,"Uses:Rind on hard cheeses such as EdamOther Uses: Cosmetics, pharamaceutical preparations",,Halaal,synthetic chemical.,"Health Code: RedAsthma, hives, hay fever, gastrointestinal symptoms, insomnia, hyperactivity",Rind on hard cheeses such as EdamOther,https://sanha.org.za/2009/12/16/e180-pigment-rubine/
E-number: 181, TanninAlternative Names :Tannic acid; gallotannin; gallotannic acid.Function:Status:HalaalSource: Source: from nutgall.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e181-tannin/
E-number: 200," Sorbic AcidAlternative Names :2,4-Hexadienoic acid; 2-propenyl-acrylic acid.Function: Preservative, HumectantStatus:HalaalSource: berries; synthetically.","Uses:Frozen pizza, pie fillings, cheese, cheesecake, cheese spread, chocolate syrupOther Uses: Cosmetics, mouthwash, toothpaste, ointments, dental cream",,Halaal,berries; synthetically.,"Health Code: YellowAllergic reactions, asthma, contact dermatitis, erythema, skin irritation, behavioural problems","Frozen pizza, pie fillings, cheese, cheesecake, cheese spread, chocolate syrupOther",https://sanha.org.za/2009/12/16/e200-sorbic-acid/
E-number: 201, Sodium SorbateAlternative Names :N/AFunction:Status:HalaalSource: Source: sorbic acid.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e201-sodium-sorbate/
E-number: 202, Potassium SorbateAlternative Names :Sorbic acid potassium salt; BB powder.Function: PreservativeStatus:HalaalSource: sorbic acid.,"Uses:Bread, cheese, baked goods, cheese cake, wine making, chocolateOther Uses: Cosmetics, cigarettes",,Halaal,sorbic acid.,"Health Code: YellowAllergic reactions, asthma, skin irritation, behavioural problems","Bread, cheese, baked goods, cheese cake, wine making, chocolateOther",https://sanha.org.za/2009/12/16/e202-potassium-sorbate/
E-number: 203, Calcium SorbateAlternative Names :N/AFunction: PreservativeStatus:HalaalSource: sorbic acid.,"Uses:Bread, cheese spread, cottage cheese, soft drinks, chocolate syrup, cheesecakeOther Uses: Ointments, cosmetics",,Halaal,sorbic acid.,"Health Code: YellowContact hives, skin irritation, asthma, allergic reactions, behavioural problems","Bread, cheese spread, cottage cheese, soft drinks, chocolate syrup, cheesecakeOther",https://sanha.org.za/2009/12/16/e203-calcium-sorbate/
E-number: 210," Benzoic acidAlternative Names :Benzene carboxylic acid; phenylformic acid; dracyclic acidFunction: Preservative, FlavoringStatus:HalaalSource: Synthetic","Uses:Brewed soft drinks, cider, non-dairy dip, chewing gum, fruit juice, margarine, ice creamOther Uses: Cosmetics, hair rinse, skin cleanser, perfume, pharmaceuticals",,Halaal,Synthetic,"Health Code: Red++Asthma, hives, behavioural problems, hyperactivity, may affect lungs, eye and skin irritation, aspirin sensitive people may wish to avoid, neurotoxicity","Brewed soft drinks, cider, non-dairy dip, chewing gum, fruit juice, margarine, ice creamOther",https://sanha.org.za/2009/12/16/e210-benzoic-acid/
E-number: 211, Sodium BenzoateAlternative Names :N/AFunction: PreservativeStatus:HalaalSource: synthesis from benzoic acid,"Uses:Bottled soft drinks, fruit juice, jams, pickles, condiments, baked goods, tomato pasteOther Uses: Toothpaste, eye cream, medical diagnostic aid for liver function",,Halaal,synthesis from benzoic acid,"Health Code: RedAsthma, hives, contact dermatitis, hay fever, mouth and skin irritation, hyperactivity, anaphylaxis, aspirin sensitive people may wish to avoid","Bottled soft drinks, fruit juice, jams, pickles, condiments, baked goods, tomato pasteOther",https://sanha.org.za/2009/12/16/e211-sodium-benzoate/
E-number: 212, Potassium BenzoateAlternative Names :Benzoic acid potassium salt trihydrate.Function: PreservativeStatus:HalaalSource: benzoic acid.,"Uses:Low joule jams and spreads, chilli paste, glkace cherriesOther Uses: Cosmetics",,Halaal,benzoic acid.,"Health Code: RedAsthma, hives, eczema, allergic reactions, gastric irritation, aspirin sensitive people may wish to avoid","Low joule jams and spreads, chilli paste, glkace cherriesOther",https://sanha.org.za/2009/12/16/e212-potassium-benzoate/
E-number: 213, Calcium BenzoateAlternative Names :Benzoic acid calcium salt trihydrate.Function: PreservativeStatus:HalaalSource: benzoic acid,"Uses:Brewed soft drinks, non-dairy dip, chewing gum, fruit juice, margarine, ice cream",,Halaal,benzoic acid,"Health Code: RedAsthma, hives, anaphylaxis, hyperactivity, behavioural problems, eczema, aspirin sensitive people may wish to avoid, NRC","Brewed soft drinks, non-dairy dip, chewing gum, fruit juice, margarine, ice cream",https://sanha.org.za/2009/12/16/e213-calcium-benzoate/
E-number: 214, Ethyl 4-hydroxybenzoateAlternative Names :Ethyl para-hydroxybenzoate; Ethylparaben.Function: PreservativeStatus:HalaalSource: benzoic acid.,"Uses:Brewed soft drinks, ice cream, cider non-dairy dip, chewing gum, fruit juice, margarineOther Uses: Cosmetic products",,Halaal,benzoic acid.,"Health Code: RedAsthma, hives, allergic reactions, skin redness, itching and swelling, anaphylaxis","Brewed soft drinks, ice cream, cider non-dairy dip, chewing gum, fruit juice, margarineOther",https://sanha.org.za/2009/12/16/e214-ethyl-4-hydroxybenzoate/
E-number: 215, Ethyl 4-hydroxybenzoate sodium saltAlternative Names :Sodium ethyl para-hydroybenzoateFunction: PreservativeStatus:HalaalSource: benzoic acid.,,,Halaal,benzoic acid.,"Health Code: RedAsthma, numbness in the mouth, hives, gastric irritation, allergic contact demartitis, aspirin sensitive people may wish to avoid
E-number: 216, Propyl 4-hydroxybenzoateAlternative Names :propylparaben; n-propyl p-hydroxybenzoate; propyl para-hydroxybenzoateFunction: PreservativeStatus:HalaalSource: benzoic acid.,"Uses:Beverages, baked goods, sweets, jellies, preserves, fruit flavouringsOther Uses: Cosmetics, shampoo, foundation cream",,Halaal,benzoic acid.,"Health Code: RedAsthma, hives, allergic reactions, skin redness, itching and swelling, anaphylaxis","Beverages, baked goods, sweets, jellies, preserves, fruit flavouringsOther",https://sanha.org.za/2009/12/16/e216-propyl-4-hydroxybenzoate/
E-number: 217, Propyl 4-hydroxybenzoate sodium saltAlternative Names :Sodium n-propyl p-hydroxybenzoate; Sodium propyl para-hydroxybenzoate.Function: PreservativeStatus:HalaalSource: synthetic chemical.,,,Halaal,synthetic chemical.,"Health Code: RedAsthma, hives, numbness in the mouth, gastric irritation, allergic contact dermatitis, aspirin sensitive people may wish to avoid
E-number: 218, Methyl 4-hydroxybenzoateAlternative Names :Methyl paraben; Methyl para-hydroxybenzoate.Function: PreservativeStatus:HalaalSource: synthetic chemical.,"Uses:Jellies, preserves, jams, baked goods, fruit juices, salad dressingsOther Uses: Cosmetics, skin and hair care products",,Halaal,synthetic chemical.,"Health Code: RedAsthma, hives, allergic reactions, skin redness, itching and swelling, anaphylaxis","Jellies, preserves, jams, baked goods, fruit juices, salad dressingsOther",https://sanha.org.za/2009/12/16/e218-methyl-4-hydroxybenzoate/
E-number: 219, Methyl 4-hydroxybenzoate sodium saltAlternative Names :Sodium methyl para-hydroxybenzoate; Sodium methyl hydroxybenzoate.Function: PreservativeStatus:HalaalSource: synthetic chemical.,,,Halaal,synthetic chemical.,"Health Code: RedAsthma, hives, allergic reactions, skin redness, itching and swelling, anaphylaxis
E-number: 220, Sulphur DioxideAlternative Names :Sulfur dioxide; Sulfurous anhydride; sulfurous oxide.Function: PreservativeStatus:HalaalSource: synthetic chemical.,"Uses:Dried fruit, beer, cider, fruit juice, gelatine, wines, pickles, soft drinks, dessicated coconut, vinegar",,Halaal,synthetic chemical.,"Health Code: RedAsthma, broncho spasm, bronchoconstriction, hypotension, anaphylaxis, bronchitis, destroys vitamins A and B1 in food, animal mutagen","Dried fruit, beer, cider, fruit juice, gelatine, wines, pickles, soft drinks, dessicated coconut, vinegar",https://sanha.org.za/2009/12/16/e220-sulphur-dioxide/
E-number: 221, Sodium SulphiteAlternative Names :N/AFunction: PreservativeStatus:HalaalSource: synthetic from sulphurous acid.,"Uses:Cut fruits, dried fruit, maraschino, cherries, prepared fruit pie mix, frozen apples",,Halaal,synthetic from sulphurous acid.,"Health Code: RedAsthma, gastric irritation, skin rash, nausea, diarrhoea, destroys vitamin B content in food, those with poor liver or kidney function should avoid","Cut fruits, dried fruit, maraschino, cherries, prepared fruit pie mix, frozen apples",https://sanha.org.za/2009/12/16/e221-sodium-sulphite/
E-number: 222, Sodium Hydrogen SulphiteAlternative Names :Sodium bisulphite; acid sodium sulphite.Function: PreservativeStatus:HalaalSource: from sulphurous acid.,"Uses:Tomato paste, dried fruit, jams, jellies, fruit juicesOther Uses: Mouthwash, hair dye, wart remover",,Halaal,from sulphurous acid.,"Health Code: RedBronchial asthma, chronic hives, skin irritation, mutagenic","Tomato paste, dried fruit, jams, jellies, fruit juicesOther",https://sanha.org.za/2009/12/16/e222-sodium-hydrogen-sulphite/
E-number: 223, Sodium MetabisulphiteAlternative Names :Disodium pyrosulphite; sodium pyrosulphiteFunction: PreservativeStatus:HalaalSource: synthetic from sulphurous acid.,"Uses:Bread and flour products, jellies, dried fruits, tomato paste, maraschino cherriesOther Uses: Hair products, bath preparations, underarm deodorant",,Halaal,synthetic from sulphurous acid.,"Health Code: RedAsthma (life threatening attacks), hay fever, chronic hives, atopic dermatitis, harmful to aquatic organisms","Bread and flour products, jellies, dried fruits, tomato paste, maraschino cherriesOther",https://sanha.org.za/2009/12/16/e223-sodium-metabisulphite/
E-number: 224," Potassium metabisulphiteAlternative Names: Potassium pyrosulphiteFunction: Preservative, AntioxidantStatus:HalaalSource: synthetic chemical.","Uses:Cheese and cheese products, home wine brewing kitsOther Uses: Bleaching straw",,Halaal,synthetic chemical.,"Health Code: RedAsthma, hives, behavioural problems, gastric irritation, anaphylaxis","Cheese and cheese products, home wine brewing kitsOther",https://sanha.org.za/2009/12/16/e224-potassium-metabisulphite/
E-number: 225," Sodium SulfiteAlternative Names :Sodium Sulphite; Sulfurous acid, disodium salt; Disodium sulfite.Function:Status:HalaalSource: Source: synthetic chemical.",,,Halaal,,,,https://sanha.org.za/2009/12/16/e225-sodium-sulfite/
E-number: 226," Calcium SulphiteAlternative Names :N/AFunction: Preservative, Firming agentStatus:HalaalSource: from sulphurous acid.","Uses:Canned fruits and vegetablesOther Uses: Disinfectant, home wine brewing",,Halaal,from sulphurous acid.,"Health Code: RedAsthma, skin irritation, gastric irritation, may affect kidneys, gastro-intestinal tract and liver",Canned fruits and vegetablesOther,https://sanha.org.za/2009/12/16/e226-calcium-sulphite/
E-number: 227," Calcium Hydrogen SulphiteAlternative Names :Calcium bisulphite solution.Function: Preservative, Firming agentStatus:HalaalSource: from sulphurous acid.",Uses:Canned fruits and vegetables,,Halaal,from sulphurous acid.,"Health Code: RedAsthma, gastric irritation, may affect liver, kidneys, lungs, stomach",Canned fruits and vegetables,https://sanha.org.za/2009/12/16/e227-calcium-hydrogen-sulphite/
E-number: 228, Potassium Hydrogen SulphiteAlternative Names :N/AFunction: PreservativeStatus:HalaalSource: Synthetic chemical.,"Uses:Low joule jam, dried fruits",,Halaal,Synthetic chemical.,"Health Code: RedAsthma, skin reactions, anaphylaxis, gastric irritation, hyperactivity","Low joule jam, dried fruits",https://sanha.org.za/2009/12/16/e228-potassium-hydrogen-sulphite/
E-number: 230," BiphenylAlternative Names :Diphenyl; 1,1-Biphenyl; bibenzene; phenylbenzene.Function: Antifungal preservativeStatus:HalaalSource: synthetic chemical.","Uses:Used to fumigate some fruits (residue on fruit skins), food wrapped in paper impregnated with diphenyl, citrus peel, marmalade",,Halaal,synthetic chemical.,"Health Code: Red++Exposure can cause eye and nasal irritation, vomiting, nausea, CNS depression, liver, kidney, respiratory, cardiovascular and neurotixicity","Used to fumigate some fruits (residue on fruit skins), food wrapped in paper impregnated with diphenyl, citrus peel, marmalade",https://sanha.org.za/2009/12/16/e230-biphenyl/
E-number: 231," 2-HydroxybiphenylAlternative Names :o-Phenylphenol; orthophenylphenol; (1,1-Biphenyl)-2-ol; 2-biphenylol; orthoxenol.Function: PreservativeStatus:HalaalSource: synthetic chemical.",Uses:Used in the manufacture of many food additives,,Halaal,synthetic chemical.,"Health Code: RedNausea, convulsions, vomiting, circulatory collapse, respiratory failure, cardiac arrest, coma, carcinogenic",Used in the manufacture of many food additives,https://sanha.org.za/2009/12/16/e231-2-hydroxybiphenyl/
E-number: 232," Sodium biphenyl-2-yl oxideAlternative Names :Sodium O-phenylphenol; Sodium orthophenylphenate; (trihydrate).Function: Preservative, AntifungalStatus:HalaalSource: synthetic chemical.","Uses:Sprayed onto fruit skins, products containing fruit skins, marmaladeOther Uses: Cosmetics, detergents, cooling fluids",,Halaal,synthetic chemical.,"Health Code: RedVomiting, convulsions, irritation of nose and eyes, depigmentation, photosensitiser","Sprayed onto fruit skins, products containing fruit skins, marmaladeOther",https://sanha.org.za/2009/12/16/e232-sodium-biphenyl-2-yl-oxide/
E-number: 233, 2-(Thiazol-4-yl) benzimidazoleAlternative Names :Thiabendazole; Omnizole; Thiaben; TribendazoleFunction:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e233-2-thiazol-4-yl-benzimidazole/
E-number: 234," NisinAlternative Names :N/AFunction: Preservative, AntimicrobialStatus:HalaalSource: biosynthetic.","Uses:Processed cheese, canned vegetables and fruit, semolina and tapioca puddings",,Halaal,biosynthetic.,Health Code: YellowThe European parliament said in 2003 that it should not be used as it could cause antibiotic resistance in humans,"Processed cheese, canned vegetables and fruit, semolina and tapioca puddings",https://sanha.org.za/2009/12/16/e234-nisin/
E-number: 235, NatamycinAlternative Names :Pimiricin; antibiotic A 5283; tennecetin; CL 12625.Function: PreservativeStatus:HalaalSource: microbiological synthesis.,"Uses:Cured processed meats, cheese rindOther Uses: Drug used to treat fungal infections of the eyes and eyelids",,Halaal,microbiological synthesis.,"Health Code: RedModerately toxic by ingestion, nausea, vomiting, diarrhoea, anorexia, mild skin irritation","Cured processed meats, cheese rindOther",https://sanha.org.za/2009/12/16/e235-natamycin/
E-number: 236, Formic AcidAlternative Names :Methanoic Acid; Ameisensaure.Function:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e236-formic-acid/
E-number: 237, Sodium FormateAlternative Names :sodium formiate; formic acid sodium salt.Function:Status:HalaalSource: Source: from formic acid.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e237-sodium-formate/
E-number: 238, Calcium FormateAlternative Names :calcium formiate; formic acid calcium salt.Function:Status:HalaalSource: Source: from formic acid.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e238-calcium-formate/
E-number: 239, HexamineAlternative Names :Hexamethylenetetramine; Methenamine; HMT; HMTA.Function: PreservativeStatus:HalaalSource: synthetic chemical.,"Uses:Provolone cheeseOther Uses: Cosmetics, adhesives, coatings lubricating oils",,Halaal,synthetic chemical.,"Health Code: RedContact dermatitis, gastrointestinal upset, kidney damage, genetic mutation in animals, suspected carcinogen",Provolone cheeseOther,https://sanha.org.za/2009/12/16/e239-hexamine/
E-number: 240, FormaldehydeAlternative Names :methanal; oxomethane; oxymethylene; methylene oxide; formic aldehyde; methyl aldehyde.Function:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/16/e240-formaldehyde/
E-number: 242," Dimethyl DicarbonateAlternative Names :dicarbonic acid; dimethyl ester; dimethyl polycarbonate; Velcorin.Function: Preservative, FungicideStatus:HalaalSource: Synthetic Chemical.","Uses:Sport drinks, fruit drinks, instant teasOther Uses: Yeast inhibitor in wine",,Halaal,Synthetic Chemical.,Health Code: Greensafe in food use,"Sport drinks, fruit drinks, instant teasOther",https://sanha.org.za/2009/12/16/e242-dimethyl-dicarbonate/
E-number: 249," Potassium NitriteAlternative Names :N/AFunction: Preservative, Colour fixativeStatus:HalaalSource: from nitrous acid.","Uses:Corned, cured, pickled, manufactured and pressed meats",,Halaal,from nitrous acid.,"Health Code: RedAsthma, kidney inflamation, behavioural problems, dizziness, headache, may form nitrosamines, not permitted in foods for babies under 6 months, inhibits oxygen in the blood, carcinogenic","Corned, cured, pickled, manufactured and pressed meats",https://sanha.org.za/2009/12/15/e249-potassium-nitrite/
E-number: 250, Sodium NitriteAlternative Names :Nitrous acid sodium salt; erinitrit.Function: PreservativeStatus:HalaalSource: synthetic from sodium nitrate.,"Uses:Canned, cured, manufactured and pressed meats, sausages, baconOther Uses: Anticorrosive in some cosmetics",,Halaal,synthetic from sodium nitrate.,"Health Code: RedNausea, headaches, dizziness, not permitted in foods for babies less than 6 months, toxic to aquatic organisms","Canned, cured, manufactured and pressed meats, sausages, baconOther",https://sanha.org.za/2009/12/15/e250-sodium-nitrite/
E-number: 251, Sodium NitrateAlternative Names :Chile saltpetre; cubic niter;soda niter.Function: PreservativeStatus:HalaalSource: mineral.,"Uses:Prosciutto, manufactured meats",,Halaal,mineral.,"Health Code: RedNausea, vomiting, dizziness, headaches, migraine, may affect thyroid gland, not permitted in foods for babies less than 6 months","Prosciutto, manufactured meats",https://sanha.org.za/2009/12/15/e251-sodium-nitrate/
E-number: 260, Acetic AcidAlternative Names :Acetic acid glacial; Aci-Jel.Function: Food Acid ButterStatus:HalaalSource: synthetic,"Uses:Pickles, chutney, cheese, baked goods, saucesOther Uses: Animal feeds, hair dye, hand lotion, cigarettes",,Halaal,synthetic,"Health Code: Greenregarded as safe in food use, skin irritation,, hives, skin rash, caused cancer in rats and mice orally and by injection, harmful to aquatic organisms","Pickles, chutney, cheese, baked goods, saucesOther",https://sanha.org.za/2009/12/15/e260-acetic-acid/
E-number: 261," Potassium AcetateAlternative Names :N/AFunction: Acidity Regulator, PreservativeStatus:HalaalSource: acetic acid.","Uses:Pickles, salad cream, chutney, cheese, brown sauce, fruit sauceOther Uses: Diuretic",,Halaal,acetic acid.,Health Code: GreenPeople with impaired kidney function or cardiac disease may wish to avoid,"Pickles, salad cream, chutney, cheese, brown sauce, fruit sauceOther",https://sanha.org.za/2009/12/15/e261-potassium-acetate/
E-number: 262," Sodium Hydrogen DiacetateAlternative Names :Sodium Acid Acetate (anhydrous / trihydrate); sodium diacetate.Function: Acidity Regulator, PreservativeStatus:HalaalSource: acetic acid & sodium acetate.","Uses:Sweets, jams, jellies, soup mixes, snack foods, cerealsOther Uses: Cosmetics, textiles, photographic and dye processes",,Halaal,acetic acid & sodium acetate.,"Health Code: Greensafe in food use, skin and eye irritation, moderate toxicity by ingestion","Sweets, jams, jellies, soup mixes, snack foods, cerealsOther",https://sanha.org.za/2009/12/15/e262-sodium-hydrogen-diacetate/
E-number: 263," Calcium AcetateAlternative Names :Brown acetate of lime; gray acetate of lime.Function: Food Acid, Firming agentStatus:HalaalSource: from acetic acid.","Uses:Bread, pickles, beer, ale, cheese, salad creamOther Uses: Dyeing and curing skins, cosmetic fragrance",,Halaal,from acetic acid.,"Health Code: Greensafe in food use, low oral toxicity","Bread, pickles, beer, ale, cheese, salad creamOther",https://sanha.org.za/2009/12/15/e263-calcium-acetate/
E-number: 264, Ammonium AcetateAlternative Names :Acetic acid ammonium salt.Function:Status:HalaalSource: Source: synthetic chemical.,,,Halaal,,,,https://sanha.org.za/2009/12/15/e264-ammonium-acetate/
E-number: 270," Lactic AcidAlternative Names :D-Lactic acid; DL-Lactic acid; 2-Hydroxypropanoic acid; racemic lactic acid.Function: Food acid, PreservativeStatus:HalaalSource: Fruit / seeds; carbohydrates.","Uses:Infant formula, salad dressings, confectionery, soft drinks, tartare sauceOther Uses: Cosmetics, skin freshners, cigarettes",,Halaal,Fruit / seeds; carbohydrates.,"Health Code: Greensafe in food use. In cosmetics stinging of the skin in sensitive people, not recommended for babies under 3 months","Infant formula, salad dressings, confectionery, soft drinks, tartare sauceOther",https://sanha.org.za/2009/12/15/e270-lactic-acid/
E-number: 280, Propionic AcidAlternative Names :Propanoic acid; Methylacetic acid; ethylformic acid.Function: PreservativeStatus:HalaalSource: synthetic chemical; from wood pulp.,"Uses:Ice cream, baked goods, sweets, processed cheesesOther Uses: Bakery use",,Halaal,synthetic chemical; from wood pulp.,"Health Code: YellowMigraines, skin irritation, headaches, hamful to aquatic organisms","Ice cream, baked goods, sweets, processed cheesesOther",https://sanha.org.za/2009/12/15/e280-propionic-acid/
E-number: 281, Sodium PropionateAlternative Names :Propionic acid sodium salt.Function: PreservativeStatus:HalaalSource: from propionic acid.,"Uses:Confectionery, baked goods, frostings, cakesOther Uses: Cosmetics, medical treatment of fungal infections of the skin",,Halaal,from propionic acid.,"Health Code: YellowBehavioural problems, skin irritation, learning difficulties, asthma, gastric irritation, headache, migraines see Calcium Propionate E282]","Confectionery, baked goods, frostings, cakesOther",https://sanha.org.za/2009/12/15/e281-sodium-propionate/
E-number: 282," Calcium PropionateAlternative Names :Propionic acid calcium salt.Function: Mould inhibitor, PreservativeStatus:HalaalSource: from propionic acid.","Uses:Bread, processed cheese, poultry stuffing, chocolate productsOther Uses: Cosmetics, antifungal medication",,Halaal,from propionic acid.,"Health Code: YellowIrritability, asthma, migraine, fatigue, learning difficulties, aggression, gastric irritation, headaches, sensitivity to propionates occurs in conjunction with sensitivity to other chemicals","Bread, processed cheese, poultry stuffing, chocolate productsOther",https://sanha.org.za/2009/12/15/e282-calcium-propionate/
E-number: 283, Potassium PropionateAlternative Names :Propionic acid potassium salt.Function: PreservativeStatus:HalaalSource: from propionic acid.,"Uses:Bread, biscuits, cakes, pastries and other flour productsOther Uses: Cosmetics",,Halaal,from propionic acid.,"Health Code: GreenAsthma, learning difficulties, headache, behabioural problems, migraine, see also Calcium Propionate E282","Bread, biscuits, cakes, pastries and other flour productsOther",https://sanha.org.za/2009/12/15/e283-potassium-propionate/
E-number: 284," Boric AcidAlternative Names :Boracic acid; orthoboric acid.Function: Preservative, Oral care agentStatus:HalaalSource: natural mineral.","Uses:Cavier, fungus control on citrus fruitsOther Uses: Baby powder, bath powder, soap, eye cream, mouthwash, cosmetics",,Halaal,natural mineral.,"Health Code: Red++Severe poisonings have occured after ingestion or application to abraded skin, kidney, cardiovascular, reproductive, liver and neurotoxicity","Cavier, fungus control on citrus fruitsOther",https://sanha.org.za/2009/12/15/e284-boric-acid/
E-number: 285, Sodium TetraborateAlternative Names :Borax; sodium borate; sodium biborate.Function: PreservativeStatus:HalaalSource: mineral.,"Uses:Meats imported from the USA?Other Uses: Shaving cream, cold cream, foundation cream, insecticides",,Halaal,mineral.,"Health Code: RedToxic, rarely used with foods, chronic exposure can cause red peeling skin, seizures and kidney failure",Meats imported from the USA?Other,https://sanha.org.za/2009/12/15/e285-sodium-tetraborate/
E-number: 296," Malic AcidAlternative Names :DL-Malic acid; Hydroxybutanedioic acid; hydroxysuccinic acid; apple acid; 2-hydroxy-1,4-butanedioic acid.Function: Acidity Regulator, AntioxidantStatus:HalaalSource: synthetic; microbiological.","Uses:Sweetened coconut, tinned oxtail soup, low calorie softdrinks, winesOther Uses: Cosmetics, hair lacquer",,Halaal,synthetic; microbiological.,"Health Code: Greensafe in food use, skin and mucous membrane irritation, may aggravate herpes simplex symptoms","Sweetened coconut, tinned oxtail soup, low calorie softdrinks, winesOther",https://sanha.org.za/2009/12/15/e296-malic-acid/
E-number: 297," Fumaric AcidAlternative Names :(E)-2-Butadioic acid; allomaleic acid; boletic acid.Function: Food acid, AntioxidantStatus:HalaalSource: biosynthetic.","Uses:Brewed soft drinks, confections, packet cheesecake mixOther Uses: Cosmetics",,Halaal,biosynthetic.,Health Code: Greensafe in food use,"Brewed soft drinks, confections, packet cheesecake mixOther",https://sanha.org.za/2009/12/15/e297-fumaric-acid/
E-number: 300, Vitamin CAlternative Names :L-Ascorbic acid; Ascorbic acid.Function: Preservative AntioxidantStatus:HalaalSource: Biosynthetic,"Uses:Confectionery, breakfast cereals, pressed meats, corned meatOther Uses: Cosmetic cream, hair dye, hair conditioner",,Halaal,Biosynthetic,"Health Code: Greensafe in foods. vitamin c has many beneficial health effects, excessive consumption can cause skin rashes, painful urination and diarrhoea","Confectionery, breakfast cereals, pressed meats, corned meatOther",https://sanha.org.za/2009/12/15/e300-vitamin-c/
E-number: 301, Vitamin C SodiumAlternative Names :Sodium L-Ascorbate; Sodium L-(+)-ascorbate.Function: AntioxidantStatus:HalaalSource: from Vitamin C.,"Uses:Foods for infants, frozen fish, wine, vinegar, beerOther Uses: Cosmetics",,Halaal,from Vitamin C.,Health Code: Greensafe in food use,"Foods for infants, frozen fish, wine, vinegar, beerOther",https://sanha.org.za/2009/12/15/e301-vitamin-c-sodium/
E-number: 302," Vitamin C CalciumAlternative Names :Calcium ascorbate; Calcium L-ascorbate.Function: Preservative, AntioxidantStatus:HalaalSource: synthetic chemical.","Uses:Concentrated milk products, cooked and cured meat products",,Halaal,synthetic chemical.,Health Code: Greensafe in food use at low levels,"Concentrated milk products, cooked and cured meat products",https://sanha.org.za/2009/12/15/e302-vitamin-c-calcium/
