Serial Number,Establishments with Certified Products,Certified Products,Category,Certificate Number,Date of Issue,Date of Expiry,Remark
170,"Te Li Composite Biotechnology & Pharmaceutical Co.,
Ltd. 得力興生技藥業股份有限公司","Extract 18 (300ml/btl) ( Total 1 Item) EX18艾克瑞德 (液態飲品) (300毫升
/瓶)
(共一項產品)",Healthy Food,CP88301010624-2,2024/06/14,2025/06/13,(續)
171,"MycoMagic Biotechnology Co., Ltd. 蘑法生物科技股份
有限公司","Healthy Food Ingredients series（Total 4 Items）保健食品原料系列（共四
項產品）",Healthy Food,CP90101011223,2023/12/14,2025/12/13,(續)
172,"Ascare Industrial Co., Ltd. 亞世佳食品股份有限公司",Nutritional Supplement Powder series（Total 13 Items）,Healthy Food,CP90601010125,2025/01/17,2026/01/16,(續)
173,"Jialian Biotech Co., Ltd. 佳聯生技有限公司","YIRIYIJIAO Y outh Powder (90g (3g/sachet x 30 sachets)/box),
YIRIYIJIAO
Comprehensive Fruit and Vegetable Enzyme (750ml/bottle).（Total 2 Items
）宜
日宜酵青春粉 (90克 (3克/包X30包)/盒)、宜日宜酵綜合蔬果酵素液
(750毫升/瓶)（共二項產品）",Healthy Food,CP94301010424,2024/04/30,2025/04/29,
174,"Chenglin Agarwood Biomedical International Co., Ltd.
澄霖生醫國際股份有限公司","Solid state fermentation Antrodia cinnamomea mycelia (1kg, 5kg, 10kg,
20kg)（
Total 1 Item）固態培育牛樟芝菌絲體粉末 (1公斤、5公斤、10公斤、
20公斤)（共一項產品）",Healthy Food,CP94601010524,2024/05/29,2025/05/28,
175,GinHwa Biotech Inc. 精華生醫股份有限公司,"DDDrops Essence of Chicken (45ml/pack, 45ml/box, 450ml/box,
675ml/box.)（
Total 1 Item）滴滴鮮滴雞精 (45毫升/包、45毫升/盒、450毫升/盒、675
毫升 /盒)（共一項產品）",Healthy Food,CP94801010624,2024/06/12,2025/06/11,
176,"M.H. Biotechnology Co., Ltd. 頂宏生物科技股份有限公
司",Functional Foods series（Total 9 Items）保健食品系列（共九項產品）,Healthy Food,CP95901011224,2024/12/18,2025/12/17,
177,"TCI Co., Ltd. 大江生醫股份有限公司","AQUAGEN Deep Ocean Sparkling Water (330ml/bottle, 24 bottles/ctn)（
Total
1 Item）AQUAGEN海洋深層氣泡水 (330ml/瓶，24瓶/箱)",Beverages,AP02021020324,2024/03/24,2026/03/23,(續)
178,"TCI Co., Ltd. 大江生醫股份有限公司","Melaleuca Koala Pals Yogurt Powder (4 g × 30 sachets/box), Melaleuca
NutraView (25 g × 15 sachets/box), Melaleuca Oxycore (28 ml × 10
sachets/box), Melaleuca Replenex (10g × 15 sachets/box), Melaleuca Mel-
Up 2000 (180 ml/bottle,6 bottles/box) (Total 5 Items) 無中文品名、無中文
品名、
無中文品名、無中文品名、無中文品名 (共五項產品)",Beverages,AP02063020823,2023/08/05,2025/08/04,(續)
179,"Ruhn Chan International Co., Ltd. 潤泉國際企業有限公
司",Beverages series（Total 52 Items）飲料系列（共五十二項產品）,Beverages,AP03001020724,2024/07/05,2025/07/04,(續)
180,Hung Gee Bees Farm 宏基蜜蜂生態農場,Honey & Pollen series (Total 65 Items）蜂蜜&花粉系列(共六十五項產品),Beverages,AP03901020823,2023/08/27,2025/08/26,(續)
181,"Lover Honey Co., Ltd. 情人蜂蜜股份有限公司",Honey series（Total 83 Items）蜂蜜系列（共八十三項產品）,Beverages,CP05301021123,2023/11/07,2025/11/06,(續)
182,Persnam Corporation 伯享生技股份有限公司,"Drip Bag Coffee series, Instant Drinks series.（Total 27 Items）濾掛咖啡系
列、沖泡飲品系列（共二十七項產品）",Beverages,CP05501020624,2024/06/30,2026/06/29,(續)
183,Persnam Corporation 伯享生技股份有限公司,"Drip Coffee series, Instant Powder series, Coffee beans series（Total 47
Items）
濾掛式咖啡系列、即溶粉系列、咖啡豆系列（共四十七項產品）",Beverages,CP05502020624,2024/06/30,2025/06/29,(續)
184,"Guarantee Duty Yun-Lin Hsien Tu-Ku Cooperative Farm
保證責任雲林縣土庫合作農場","Honey series, Honey Flavored Syrup series.（Total 30 Items）蜂蜜系列、
蜂蜜
調味糖漿系列（共三十項產品）",Beverages,AP05704021223,2023/12/18,2025/12/17,(續)
185,"One Fresh Cup International Corp. 鮮一杯國際股份有限
公司","Drip Coffee series, Instant Coffee series, Rooibos Tea series, Coffee Beans
series.（Total 54 Items）濾掛咖啡系列、即溶咖啡系列、南非國寶茶系
列、
咖啡豆系列（共五十四項產品）",Beverages,SP05901021224,2024/12/22,2025/12/21,(續)
186,"Dong Jyue Enterprise Co., Ltd. 東爵企業有限公司","Tea series, Tea Bag series, Instant Drink series, Topping series, Syrup series.
（
Total 303 Items）茶葉系列、茶包系列、沖泡飲品系列、配料系列、糖
漿系列（共三百零三項產品）",Beverages,AP06002020125,2025/01/16,2026/01/15,(續)
187,"Taiyen Biotech Co., Ltd. 臺鹽實業股份有限公司","Ocean Water series, Salt series（Total 25 Items）海洋水系列、鹽系列（
共二十五項產品）",Beverages,AP06501020125,2025/01/10,2027/01/09,(續)
188,Pei Chen Corporation 伂橙股份有限公司,"Tea series, Powder series, Tapioca Boba series, Syrup series.（Total 174 Items
）
茶系列、粉體系列、珍珠系列、糖漿系列（共一百七十四項產品）",Beverages,AP06804020125,2025/01/21,2026/01/20,(續)
189,"Yi Wang Biotech Co., Ltd. 怡王生物科技有限公司","Honey series, Royal Jelly (Powder), Bee Pollen series, Propolis series（Total
15
Items）蜂蜜系列、蜂王乳(粉)、蜂花粉系列、蜂膠系列（共十五項產品
）",Beverages,AP07801020324,2024/03/08,2026/03/07,(續)
190,"Shiuan Long Enterprises Co., Ltd. 軒龍實業股份有限公
司","Black Tea series, Oolong Tea series, Other Tea series, Tea Powder series.（
Total
84 Items）紅茶系列、烏龍茶系列、其他茶系列、茶粉系列（共八十四
項產品）",Beverages,AP08601020325,2025/03/26,2026/03/25,(續)
191,Tong-Yu Food Products Corp 統裕食品股份有限公司,"Herbal Juice (3000ml/can), Grass Jelly Liquid (3000g/can ) , Herbal Juice
(3kg/can).（Total 3 Items）仙草原汁(3000ml/罐) 、仙草原汁(3000g/罐)
、仙
草汁 (3kg/罐)（共三項產品）",Beverages,AP08901020424,2024/04/08,2026/04/07,(續)
192,"Chia Meei Food Industrial Corp. 佳美食品工業股份有
限公司","Fruit & Vegetable Juice series, Concentrate Fruit & Vegetable Juice series,
Clear Concentrate Fruit & Vegetable Juice series.（Total 150 Items）果蔬
汁系列、
濃縮果蔬汁系列、澄清濃縮果蔬汁系列（共一百五十項產品）",Beverages,AP10001020524,2024/05/08,2026/05/07,(續)
193,Green Experts Corp. 綠盟股份有限公司,"Juice Concentrate series, Syrup series, Other series (Total 118 Items) 濃縮果
汁
系列、風味糖漿系列、其他系列 (共一百一十八項產品)",Beverages,AP10801020523,2023/05/27,2025/05/26,(續)
194,"Liang Chi Pro Vinegar Co., Ltd. 良記專業醋股份有限公
司",Beverage Vinegar series（Total 11 Items）飲料醋系列（共十一項產品）,Beverages,AP10901020524,2024/05/23,2026/05/22,(續)
195,"Taiwan Yes Deep Ocean Water Co., Ltd. 台灣海洋深層
水股份有限公司","Deep Ocean Water series, Concentrate series.（Total 27 Items）海洋深層水
系
列、濃縮液系列（共二十七項產品）",Beverages,AP11501020524-1,2024/05/27,2026/05/26,(續)
196,"Taiwan Yes Deep Ocean Water Co., Ltd. 台灣海洋深層
水股份有限公司",Sea Salt series.（Total 5 Items）海鹽系列（共五項產品）,Beverages,AP11501020524-2,2024/05/27,2026/05/26,(續)
197,"Kong Yen Foods Co., Ltd. 大安工研食品工廠股份有限
公司","Vinegar series, Soft Drink series.（Total 32 Items）醋系列、平衡飲料系
列（
共三十二項產品）",Beverages,CP13901020624,2024/06/18,2025/06/17,(續)
198,"Taiwan First Biotechnology Corp. 台灣第一生化科技股
份有限公司","FR ESCAFINA FINEST 100% CONCORD GRAPE JUICE (1480mL) (Total
1
Item) 嘉紛娜100%康果多酚葡萄汁 (1480毫升) (共一項產品)",Beverages,AP14603020623,2023/06/03,2025/06/02,(續)
199,"Sweet Garden Food Co., Ltd. 薌園生技股份有限公司","Grains Powder series, Rice Food Product series, Tea series (Total 116 Items)
五
穀粉系列、米製品系列、茶系列 (共一百一十六項產品)",Beverages,TP15701020723,2023/07/12,2025/07/11,(續)
200,Chia Mei Tea Enterprise Corp. 佳美實業有限公司,Tea series (Total 12 Items) 茶系列（共十二項產品）,Beverages,CP16701020823,2023/08/01,2025/07/31,(續)
201,"Yoshantea Tea Co., Ltd. 遊山茶訪茶業股份有限公司","Oolong Tea series, Black Tea series (Total 71 Items) 烏龍茶系列、紅茶系列
（
共七十一項產品）",Beverages,TP17601020823,2023/08/19,2025/08/18,(續)
202,"Kokumori Foods Co., Ltd. 穀盛股份有限公司","Brewed Vinegar series, Other series.（Total 15 Items）釀造醋系列、其他
系列
（共十五項產品）",Beverages,TP18101020824,2024/08/23,2026/08/22,(續)
203,"Sangoray Co., Ltd. 祥和瑞股份有限公司","Coffee Beans series, Coffee Powder series, Follicular series.（Total 72 Items
）
咖啡豆系列、咖啡粉系列、濾泡式系列（共七十二項產品）",Beverages,TP21201021023,2023/10/04,2025/10/03,(續)
204,"Shou Sheng Biotechnology Co., Ltd. 壽生生物科技有限
公司",Brown Sugar series（Total 18 Items）黑糖系列（共十八項產品）,Beverages,TP22201021123,2023/11/11,2025/11/10,(續)
205,"Ten Ren Tea Co., Ltd. 天仁茶業股份有限公司","Tea series, Tea Powder series.（Total 32 Items）茶系列、茶粉系列（共三
十二項產品）",Beverages,CP24301020224,2024/02/11,2026/02/10,(續)
206,"Chou Chin Industrial Co., Ltd. 久津實業股份有限公司",Drink series（Total 5 Items）飲料系列（共五項產品）,Beverages,TP29801020723,2023/07/08,2025/07/07,(續)
207,"Shui Sheng Food Development Co., Ltd. 水勝開發食品
有限公司","Pudding Powder & Jelly Powder series, Flavored Powder series, Smoothie
Powder& Ice Cream Powder series.（Total 97 Items）布丁粉&果凍粉系列
、
風味粉系列、冰沙粉&霜淇淋粉系列（共九十七項產品）",Beverages,CP34301020124,2024/01/13,2026/01/12,(續)
208,"Grandee Biotechnology Co., Ltd. 宏總生化科技股份有
限公司","Juice Pow der series, Flavor Powder series, Juice Flavor Powder series,
Vegetable
Powder series, Other series.（Total 378 Items）果汁粉系列、香料粉系列
、調
味果汁粉系列、蔬菜粉系列、其他系列（共三百七十八項產品）",Beverages,TP34901020125,2025/01/23,2027/01/22,(續)
209,"Oklao International Co., Ltd. 歐客佬國際有限公司",Drip Coffee series（Total 8 Items）濾掛式咖啡系列（共八項產品）,Beverages,TP36401020325,2025/03/12,2027/03/11,(續)
210,"Chitsaihu Biotech Co., Ltd. 七彩湖生技有限公司","Plum Concentrate (5000cc±1.5%/Bottle)（Total 1 Item）梅漿
(5000cc±1.5%/
桶)（共一項產品）",Beverages,CP39301020724,2024/07/21,2026/07/20,(續)
211,"Yongda Food Technology Co., Ltd. 永大食品生技股份
有限公司","Juice & Drink series, Jam & Syrup series, Topping series, Other series（Total
62
Items）果汁&飲品系列、果醬&糖漿系列、配料系列、其他系列（共六
十二項產品）",Beverages,CP41301021024,2024/10/13,2025/10/12,(續)
212,"Yongda Food Technology Co., Ltd. 永大食品生技股份
有限公司","Juice & Syrup series, Konjac series, Popping Boba series.（Total 34 Items）
果
汁&糖漿系列、寒天系列、爆爆珠系列（共三十四項產品）",Beverages,CP41302021023,2023/10/13,2025/10/12,(續)
213,Dahu Strawberry Farm 大湖草莓農場,"Canned Food series, Jam series, Jam with Pulp series, Flavor Syrup series,
Syrup with Pulp series, Topping series（Total 96 Items）罐頭系列、果醬
系列、果粒
系列、風味糖漿系列、含果肉風味糖漿系列、配料系列（共九十六項產
品）",Beverages,CP42202021224,2024/12/24,2025/12/23,(續)
214,"Wu Shih Lan Enterprise Co., Ltd. 五十嵐企業股份有限
公司",Tea series（Total 4 Items）茶系列（共四項產品）,Beverages,CP43201021224,2024/12/23,2026/12/22,(續)
215,"Taiwan Huang Chi Enterprise Co., Ltd. 台灣黃記企業股
份有限公司","Honey Flavored syrup series, Honey series.（Total 34 Items）蜂蜜風味糖
漿系
列、蜂蜜系列（共三十四項產品）",Beverages,CP44401020225,2025/02/24,2027/02/23,(續)
216,Grand Blossom Grange 大花農場,"Rose series, Cabbage series.（Total 19 Items）玫瑰花系列、高麗菜系列
（共十九項產品）",Beverages,CP44701020325,2025/03/06,2027/03/05,(續)
217,"Jheng Chun Co., Ltd. 正純食品有限公司","Honey series, Oil series, Vinegar series.（Total 14 Items）蜂蜜系列、油品
系
列、醋系列（共十四項產品）",Beverages,TP45301020425,2025/04/08,2027/04/07,(續)
218,"KEE Fresh & Safe Foodtech Co., Ltd. 金利食安科技股
份有限公司",Juice series（Total 18 Items）果汁系列（共十八項產品）,Beverages,CP46301020624,2024/06/03,2026/06/02,(續)
219,"Kung-Long Biotech Co., Ltd. 光隆生化科技股份有限公
司","Deep Ocean Water series, Concentrated Solution series, Sea salt series（
Total 7
Items）海洋深層水系列、濃縮液系列、海鹽系列（共七項產品）",Beverages,CP47502021224,2024/12/16,2025/12/15,
220,"Apex Foods Co., Ltd. 艾珮斯食品有限公司",Drink series (Total 15 Items) 飲品系列(共十五項產品),Beverages,CP47601020723,2023/07/04,2025/07/03,(續)
221,"For Hope International Co., Ltd. 鴻皓國際有限公司","Tea series, Syrup series.（Total 43 Items）茶系列、糖漿系列（共四十三
項產品）",Beverages,CP48901020824,2024/08/31,2026/08/30,(續)
222,"Yu Wei Tea Manufacturer Co., Ltd. 宥維茶業有限公司",Tea series（Total 19 Items）茶葉系列（共十九項產品）,Beverages,CP49101020923,2023/09/07,2025/09/06,(續)
223,"Justkai Biotech Co., Ltd. 嘉仕鎧生技股份有限公司","Syrup series, Jam series, Coconut Jelly series, Other Tea series, Vinegar
series（
Total 79 Items）糖漿系列、果醬系列、椰果系列、其他茶系列、醋系列
（共七十九項產品）",Beverages,CP57201020824,2024/08/11,2026/08/10,(續)
224,"Zhen Wang Le Co., Ltd. 鉦旺樂股份有限公司","Froze n Fruit Juice series, Diced Fruit series, Frozen Syrup series, Frozen
Fruit
series, Normal Temperature Juice series.（Total 36 Items）冷凍原汁系列
、果
丁系列、冷凍蜜糖系列、冷凍水果系列、常溫果汁系列（共三十六項
產品）",Beverages,CP57302020824,2024/08/08,2026/08/07,(續)
225,Oneworld Food Processing Factory 寰宇食品加工廠,"Topping series, Tapioca Pearl series, Diced Fruit series（Total 27 Items）配
料
系列、粉圓系列、果丁系列（共二十七項產品）",Beverages,CP58501020924,2024/09/14,2025/09/13,(續)
226,Yuyupas International Corp. 優遊吧斯股份有限公司,Brewed Coffee series（Total 3 Items）沖泡咖啡系列（共三項產品）,Beverages,CP58701020923,2023/09/25,2025/09/24,(續)
227,"Cuifong Tea Marketing Co., Ltd. 翠豐茶業行銷有限公
司",Tea series（Total 5 Items）茶葉系列（共五項產品）,Beverages,CP61101021224,2024/12/19,2026/12/18,(續)
228,"Chia-Tza-Teng International Corporation 加芝登國際股
份有限公司","Ingredients series, Pudding Powder & Jelly Powder series, Flavor Powder &
Other series（Total 49 Items）原料分裝系列、布丁粉&果凍粉系列、風
味粉
&其他系列（共四十九項產品）",Beverages,LP62302020624,2024/06/12,2026/06/11,(續)
229,"Melisun Food Co., Ltd. 美力香食品股份有限公司","Syrup series, Tea Powder series, Beverage Powder series.（Total 43 Items）
糖
漿系列、茶粉系列、飲品調味粉系列（共四十三項產品）",Beverages,CP62902021224,2024/12/04,2026/12/03,(續)
230,Premsun Corporation 品勝股份有限公司,"Traditional Drink series, Concentrate Juice series (Total 11 Items) 傳統飲料
系
列 、濃縮果汁系列 (共十一項產品)",Beverages,CP64701020623,2023/06/19,2025/06/18,(續)
231,"Jinshine Tea Co., Ltd. 津香茶業有限公司",Tea series (Total 66 Items) 茶系列 (共六十六項產品),Beverages,CP65601020723,2023/07/30,2025/07/29,(續)
232,Ren Chen Yang Industrial Ltd. 仁勝工業有限公司,"RC-Bamboo powder (20kg/bag), RC-Green tea powder (RC-Matcha
powder) (20kg/bag, 1kg/bag), RC-black tea powder (20kg/bag), RC- siberian
Ginseng powder (20kg/bag), RC- glycyrrhiza uralensis powder (20kg/bag) (
Total 5
Items) 仁勝竹碳粉(20公斤/包)、仁勝綠茶粉(仁勝抹茶粉)(20公斤/包、1
公斤/包)、仁勝紅茶粉(20公斤/包)、仁勝西伯利亞人蔘粉(五加皮)(20公
斤/ 包)、仁勝甘草粉(20公斤/包) (共五項產品)",Beverages,TP66201020823,2023/08/15,2025/08/14,(續)
233,"Jeng Shin Honey Enterprise Co., Ltd. 政新蜂蜜實業有限
公司",Honey series（Total 10 Items）蜂蜜系列（共十項產品）,Beverages,CP66301020824,2024/08/30,2026/08/29,(續)
234,"HWC Roasrers Food & Beverage Co., Ltd. 黑沃餐飲股
份有限公司","Drip Bag Coffee series, Coffee Bean series, Coffee Tea Bags series（Total
76
Items）濾掛式咖啡系列、咖啡豆系列、浸泡式咖啡（共七十六項產品
）",Beverages,CP66401020823,2023/08/21,2025/08/20,(續)
235,"Tachiz Enterprise Co., Ltd. 泰吉軒實業有限公司","Juice Ball series, Popping Ball series, Bursting Ball series, Tachiz Rainboba
series , Tachiz Rainboba 15% series, Tachiz Rainboba 25% series.」（Total
68
Items）果汁球系列、風味球系列、爆爆果汁球系列、Tachiz爆漿風味
球系列、Tachiz爆漿果汁球15%系列、Tachiz爆漿果汁球25%系列（
共六十八項
產品）",Beverages,CP67201020923,2023/09/11,2025/09/10,(續)
236,"Long Rainbow Tea Co., Ltd. 長虹茶業有限公司",Tea series（Total 22 Items）茶葉系列（共二十二項產品）,Beverages,CP71002020924,2024/09/09,2025/09/08,
237,"Creation Food Co., Ltd. 開元食品工業股份有限公司","Syrup series, Creamer series, Liquid Sugar series.（Total 49 Items）濃糖果
漿
系列、奶精球系列、液態糖系列（共四十九項產品）",Beverages,CP71201020425,2025/04/24,2027/04/23,(續)
238,"Shih Chia Tea Co., Ltd. 世佳茶業有限公司","Tea series, Tea Powder series.（Total 60 Items）茶葉系列、茶粉系列（共
六十項產品）",Beverages,TP73001020624,2024/06/10,2025/06/09,(續)
239,"San Ching Tea Co., Ltd. 三清製茶事業有限公司",Tea series（Total 6 Items）茶葉系列（共六項產品）,Beverages,CP73201020624,2024/06/26,2026/06/25,(續)
240,"Tong Shii Industrial Co., Ltd. 統喜企業有限公司","Black Tea ser ies, Green Tea series, Oolong Tea series, Tea Powder
series.(Total
99 Items) 紅茶系列、綠茶系列、烏龍茶系列、茶粉系列(共九十九項產
品)",Beverages,CP74701020923,2023/09/09,2025/09/08,(續)
241,Join Join International Corp. 扶星企業股份有限公司,"Red Bean In Syrup (Red Bean) (500 g/can, 3500 g/can, 3500 g *6 cans/ctn)
（
Total 1 Item）蜜紅豆(紅豆罐頭) (500公克/罐、3500公克/罐、3500公克
*6罐
入/箱)（共一項產品）",Beverages,CP74901020924,2024/09/26,2026/09/25,(續)
242,"Shan Zhe Honey Co., Ltd. 上喆蜂蜜有限公司",Honey series（Total 5 Items）蜂蜜系列（共五項產品）,Beverages,CP75301021024,2024/10/28,2026/10/27,(續)
243,"Tai Ying Co., Ltd. 台盈有限公司",Juice series（Total 17 Items）果汁系列（共十七項產品）,Beverages,TP75501021124,2024/11/04,2026/11/03,(續)
244,"Season Coffee Food Co., Ltd. 四季工坊有限公司",Coffee Bean series（Total 32 Items）咖啡豆系列（共三十二項產品）,Beverages,CP76701020125,2025/01/13,2027/01/12,(續)
245,"Kaiyuan Life Tech Co., Ltd. 開元生活科技股份有限公
司","CASUAL LIFE 100% PURE WATER (230 mL/bottle, 190 mL/bottle),
CASUAL LIFE BAMBOO CHAROCAL WATER (230 mL/bottle, 190
mL/bottle), CASUAL LIFE MEDIUM SPARKLING WATER (500
mL/bottle), CASUAL LIFE STRONG SPARKLING WATER (500
mL/bottle).（Total 4
Items）CASUAL LIFE 慢活小農100%純水 (230毫升/瓶、190毫升/瓶)
、
CASUAL LIFE慢活小農竹炭水 (230毫升/瓶、190毫升/瓶)、CASUAL
LIFE 慢活小農氣泡水[嬌氣型] (500毫升/瓶)、CASUAL LIFE慢活小農
氣泡水[強氣型] (500毫升/瓶)（共四項產品）",Beverages,CP77801020325,2025/03/31,2027/03/30,(續)
246,"Sung Chieh Tea Products Co., Ltd. 松杰茶業有限公司",Tea series（Total 46 Items）茶系列（共四十六項產品）,Beverages,CP77901020324,2024/03/31,2026/03/30,(續)
247,"Jiu Hsing Trading Co., Ltd. 炬星貿易有限公司",Tea series（Total 6 Items）茶系列（共六項產品）,Beverages,CP79301020723,2023/07/27,2025/07/26,(續)
248,Hito Food Raw Materials Co. 伊豆食品原料行,"Gong cha Coffee Bean (450G/bag), Gong cha Coffee Powder (450G/bag,
120G/bag).（Total 2 Items）貢茶咖啡豆(450克/袋)、貢茶咖啡粉(450克/
袋、120公克/袋)（共二項產品）",Beverages,CP79601020824,2024/08/03,2026/08/02,(續)
249,"Zan Cyuan Co., Ltd. 鑽荃有限公司","Gongcha series, Tea series (Total 6 Items) 貢茶系列、茶葉系列 (共六項產
品)",Beverages,CP79701020823,2023/08/03,2025/08/02,(續)
250,"Jin Da Tea Co., Ltd. 金大茶業有限公司","Tea series, Tea Powder series（Total 37 Items）茶葉系列、茶粉系列（共
三
十七項產品）",Beverages,CP80001020824,2024/08/11,2025/08/10,(續)
251,"Ta Tung Tea Co., Ltd. 大同茶業股份有限公司",Tea series（Total 29 Items）茶葉系列（共二十九項產品）,Beverages,CP82501021224,2024/12/23,2026/12/22,(續)
252,"Youth Hope International Co., Ltd. 耀宏國際有限公司","XNDO 白咖啡(1000包(15克/包)/箱)、 XNDO 摩卡咖啡(1000包(15克/
包)/ 箱)（共二項產品）XNDO WHITE COFFEE (1000 pcs (15
g/pcs)/CTN), XNDO MOCHA COFFEE (1000 pcs (15 g/pcs)/CTN).（Total
2 Items）",Beverages,CP83001020125,2025/01/25,2027/01/24,(續)
253,"Ilu Honey Co., Ltd. 益呂蜂蜜有限公司",Honey series（Total 8 Items）蜂蜜系列（共八項產品）,Beverages,CP83501020324,2024/03/08,2026/03/07,(續)
254,"WE RUEI Co., Ltd. 葳蕤股份有限公司","Signature Black Tea (125g/bag, 187.5g/bag), Green Tea with Jasmin e Flavor
(100g/bag, 150g/bag), TieGuanYin Tea (150g/bag), Sucrose Syrup
(3kg/bale,3.2kg/tin)（Total 4 Items）無中文品名、無中文品名、無中文
品
名、蔗糖糖漿 (3公斤/袋、3.2公斤/罐)（共四項產品）",Beverages,CP84101020424,2024/04/14,2026/04/13,(續)
255,"Kugi Foods Co., Ltd. 廣吉食品股份有限公司","Kugi Drip coffee - M andheling Brazil (100g/3.53oz(10g /
0.35ozX10packets)
/box), Kugi Drip cof fee - Mandheling (100g/3.53oz(10g /
0.35ozX10packets)
/box), Kugi Drip coffee - Blue Mountain (100g/3.53oz(10g /
0.35ozX10packets)
/box)（Total 3 Items）廣吉濾掛咖啡-重烘焙曼巴風味 (100公克(10公克
x10
包)/盒)、廣吉濾掛咖啡-黃金曼特寧風味 (100公克(10公克x10包)/盒)
、廣吉濾掛咖啡-藍山風味 (100公克(10公克x10包)/盒)（共三項產品
）",Beverages,CP86001021023,2023/10/05,2025/10/04,(續)
256,"Ming Yi Food Co., Ltd. 名億食品有限公司","Juice series, Diced Fruit series.（Total 18 Items）果汁系列、果丁系列（
共十八項產品）",Beverages,CP86201021024,2024/10/27,2026/10/26,(續)
257,"You Hong Foods Co., Ltd. 宥泓食品有限公司","Premix series, Tea series, Syrup series, Topping series.（Total 124 Items）
預拌
粉系列、茶葉系列、糖漿系列、配料系列（共一百二十四項產品）",Beverages,CP86801021224,2024/12/01,2025/11/30,(續)
258,"Wellstand Tea Leaves Co., Ltd. 立宇茶葉股份有限公司","Black Tea series, Green Tea series ( Total 7 Items) 紅茶系列、綠茶系列 (
共七項產品)",Beverages,CP88101020523,2023/05/17,2025/05/16,(續)
259,Horng Yih Tea Factory Co. 宏益製茶廠國際有限公司,"Tea series, Tea Powder series（Total 30 Items）茶葉系列、茶粉系列（共
三十項產品）",Beverages,CP88401020624,2024/06/15,2025/06/14,(續)
260,Da Dong Tea Co. Ltd. 大東茶業有限公司,"Black Tea series, Oolong Tea series, Green Tea & Other Tea series (Total 37
Items) 紅茶系列、烏龍茶系列、綠茶&其他茶系列 (共三十七項產品)",Beverages,CP88701020623,2023/06/29,2025/06/28,(續)
261,"ACEXTRACT Biotechnology Co., Ltd. 大創健康生物科
技有限公司","Tea Extract series, Powder series.（Total 6 Items）茶萃取液系列、粉末系
列
（共六項產品）",Beverages,CP89301020724,2024/07/18,2025/07/17,(續)
262,"Hansford Biotech Co., Ltd. 翰斯福生技有限公司","Functional Powder& Beverage Powder Drink series （Total 8 Items）機能
性粉
末&沖調飲品系列（共八項產品）",Beverages,CP90001021024-1,2024/10/11,2026/10/10,(續)
263,"Hansford Biotech Co., Ltd. 翰斯福生技有限公司",Ingredients series（Total 21 Items）原料系列（共二十一項產品）,Beverages,CP90001021024-2,2024/10/11,2026/10/10,(續)
264,"Chieh Hsiang Enterprise Co., Ltd. 健翔興業股份有限公
司",Alkaline Water series（Total 11 Items）鹼性離子水系列（共十一項產品,Beverages,CP90401020124,2024/01/16,2026/01/15,(續)
265,"Chi Fwu International Trade Co., Ltd. 祈福國際貿易有
限公司","Grass/Herb Juice A-1 (2880ml/Bottle, 22kg/ Bucket), Grass/Herb Juice B
(2880ml/Bottle).（Total 2 Items）仙草汁A-1 (2880毫升/罐、22公斤/桶)
、仙
草汁 (2880毫升/罐)（共二項產品）",Beverages,CP90701020125,2025/01/30,2026/01/29,(續)
266,"Hsinchu County Guanxi Town Farmers Association 新竹
縣關西鎮農會","GUANXI Far mer’s Assoclation Instant Hsien-tsáo Herb Powder
(200g/bottle,
1000g /packet), GUANXI Farmer’s Assoclation Instant Hsien-tsáo Herb
Jelly
(120g (10g*12packect)).（Total 2 Items）關西鎮農會即溶仙草 (200公克/
瓶、1000公克/包)、關西鎮農會即溶燒仙草 (120公克(10公克*12包))
（共二項產品）",Beverages,CP90801020224,2024/02/20,2026/02/19,(續)
267,"Value Foods R&D Co., Ltd. 佳質食品研發有限公司","Instant Drink series, Food Material Powder series（Total 23 Items）沖泡飲
品
系列、食品材料粉系列（共二十三項產品）",Beverages,CP91001020324,2024/03/21,2026/03/20,(續)
268,"Trusty Food Products Co., Ltd. 兆富安食品科技有限公
司",Tea series（Total 6 Items）茶葉系列（共六項產品）,Beverages,CP91201020324,2024/03/28,2026/03/27,(續)
269,"ParaCypress Tea Co., Ltd. 饗柏茶業有限公司",Tea series（Total 10 Items）茶葉系列（共十項產品）,Beverages,CP91301020324,2024/03/28,2026/03/27,(續)
270,"TS Beehoney Co., Ltd. 統香蜂蜜有限公司",Honey series（Total 15 Items）蜂蜜系列（共十五項產品）,Beverages,CP91801020624,2024/06/13,2026/06/12,(續)
271,"Tachungho international Co., Ltd. 大中和國際實業股份
有限公司","Tea series, Drink Material Powder series.（Total 70 Items）茶系列、飲品
材料
粉系列（共七十項產品）",Beverages,CP93001021024,2024/10/04,2025/10/03,(續)
272,"Donjo Biotechnology Co., Ltd. 東久生技股份有限公司",Beverages series（Total 6 Items）飲料系列（共六項產品）,Beverages,CP93101021024,2024/10/11,2026/10/10,(續)
273,"Da Huang Tea Industries Co., Ltd. 大晃茶業股份有限公
司",Tea series（Total 24 Items）茶葉系列（共二十四項產品）,Beverages,CP93201021024,2024/10/23,2026/10/22,(續)
