Logo,Company,Address,Category,Products List
https://www.halal.hrhttp://www.franck.hr,Franck d.d.,"Vodovodna ul. 20, 10000, Zagreb, Croatia",Producers,"Kava espresso zrno Espresso Classic v. 3000g, Esppresso Bonus v. 1000g, Espresso Classic v. 1000g, Espresso Superiore v. 1000g, Espresso Superiore lim. 3000g, Espresso Stretto lim. 3000 g, Espresso Stretto v. 1000 g, Espresso Victoria 1000g, Kava espresso extra, Extra Espresso Classic k. 140 g, Extra espresso Bez kofeina k. 140 g, Extra espresso Stretto k. 140g, Extra espresso Superiore k. 140 g, Kava mljevena Jubilarna Kava, Jubilarna mljevena 100g, Kava Jubilarna mljevena 200g, Kava Jubilarna mljevena 500g, Kava Jubilarna mljevena 200g, Kava Jubilarna mljevena samost. v. 400 g, Kava Jubilarna mljevena samost. v. 175 g, Kava Jubilarna mljevena samost. v. 500 g, Filter mljevena vak. 250g, Jubilarna ex. vac. 250g, Costa rica mljevena vac. 250g, Guatemala mljevena vak 250 g, 100% arabica mljevena vak. 250g, 100% Arabica lješnjak čokolada mljevena vak. 250g, Espresso mljevena vak. 250g, Espresso bez kofeina mljevena vak. 250g, Jubilarna bez kofeina mljevena vak. 250g, Kava Victoria ekskluzivna v. 200g, Kava Victoria ekskluzivna v. 500g, Kava Victoria Prima v. 250g, Kava Victoria Prima v. 500g, Kava Victoria Ritual v. 200g, Kava Victoria Ritual v. 500g, Kava Victoria Specijal v.200g, Kava Victoria Specijal 500g, Gloria mljevena v. 175 g, Gloria mljevena vak.250g, Gloria mljevena v. 250 g, Gloria mljevena v. 450g, Gloria mljevena v. 350g, Gloria mljevena v. 500g, Kava mljev BONUS 100g, Kava mljev BONUS 200g, Kava mljev BONUS 500g, Filter mljevena 1000g, Kava Crema Kava Crema 100g, Kava Crema 9g, Kava Crema 175g, Kava Crema 250g, Kava Crema 375g, Instant mješavina za kavu 2 u 1 k 300g, Instant mješavina za kavu 3 u 1 k. 360g, Instant mješavina za kavu 3 u 1 kakao k. 360g, Instant mješavina za kavu 3u1 v.180g, Filter čaj jabuka-cimet k. 60g, Filter čaj brusnica k. 55g, Filter čaj trešnja k. 55g, Filter čaj lipa K. 40g, Filter čaj Malina-Mangosteen 55 g, Filter čaj Crni ribiz omot 55 g, Filter čaj majčina dušica k.30g, Filter čaj planinski k.40g, Filter Čaj afternoon 40g, Filter Čaj evening 40g, Filter čaj menta k. 30g, Filter čaj kadulja k. 30g, Filter čaj Limeta – acai – cimet omot 55g, Filter čaj Dark mint k.40g,, Filter čaj Exotic green k.40g,, Filter čaj šipak k. 60g, Filter čaj kamilica k. 20g, Šećer za ugostiteljstvo v. 5g, Šećer za ugostiteljstvo smeđi, v. 5g, Hot mix dark choco k. 500g, Hot mix okus cocoa k. 375g, Hot mix dark choco & orange k. 500 g, Instant Kava Classical Limenka 100 G 778-00, Instant Kava Franck Classical L.200g, Instant Kava Bez Kofeina Boč. 100g, Instant Kava Gold Boč. 100g, Instant Kava Crema Boč. 80g"
https://www.halal.hrhttps://www.or-le.com,Frozen Food International d.o.o.,"Kukuljanovo 344, 51223, Kukuljanovo, Hrvatska",Producers,
https://www.halal.hrhttp://www.gavrilovic.hr,Gavrilović d.o.o.,"Gavrilovićev trg 1, 44250, Petrinja, Croatia",Slaughterhouses,"Pileća pašteta 50g, Pileća pašteta 100g, Pureća pašteta 100g, Pileći narezak  150g, Pureći narezak 150g, Goveđi narezak 150g, Goveđi gulaš 200g, Goveđi gulaš 400g, Delikates goveđi jezici 2720 g, Pileća pašteta 840g, Pureća prsa 150g (konzerva), Pileća pašteta 95 g, Pureća pašteta 95 g, Sudžuk /vac/, Sušeni goveđi but 1/2 /vac/, Pileća mortadela 1/2  /vac/, Gala pileća kobasica 400 g, Pileća ekstra kobasica 350g, Pileće hrenovke 200 g vac, Pileće hrenovke 100 g vac, Gala pileće hrenovke 100 g vac, Gala pileće hrenovke 200 g vac, Gala pileće hrenovke 1,4 kg, gastro hrenovke 1400, Pileća ekstra kobasica 250g, Stancija pureća šunka 1/2 vac., Juneća jetra, Juneća koljenica bk, Juneća koljenica sk, Juneća lopatica bk, Juneća lopatica sk, Juneća podlaktica bk, Juneća podlaktica sk, Juneća podlopatica s kostima, Juneća polovica, Juneća potrbušina, Juneća prednja četvrt bez potrbušine, Juneća prednja četvrt s potrbušinom, Juneća prsa, Juneća rebra, Juneća slabina i leđa, Juneća slabina i leđa bez bifteka, Juneća srca, Juneća zadnja četvrt bez bifteka, Juneća zadnja četvrt s biftekom, Juneće bijele kosti, Juneće kosti, Juneći biftek, Juneći bijeli bubrezi, Juneći brizli, Juneći but bk bez koljenice, Juneći but s kostima i koljenicom, Juneći but sk bez koljenice, Juneći fileki, Juneći grkljani, Juneći jezici, Juneći milanski rez bez bifteka, Juneći milanski rez bez koljenice, Juneći milanski rez s biftekom, Juneći rep, Juneći vrat bk, Juneći vrat sk, Juneća leđa sk pak., Juneća lopatica kocka pak., Juneći flam – potrbušina bk pak., Juneća prsa pak., Juneće meso mljeveno pak. (ii.kat.), Juneće mljeveno meso i. Kat. /vac/, Juneći but bk pak., Juneći ramsteak bk*, Juneća jetra vac., Juneća slabina i leđa s biftekom*, Juneća podlopatica bez kosti *, Juneći flam bez kosti *, Juneća pluća*, Juneći bubrezi *, Juneći loj *, Juneći but bez kosti – odrezak cca 150g *, Juneći but bez kosti odresci 200g*, Juneća lopatica bez kosti odresci150g *, Juneća mješavina za juhu*, Goveđi biftek svježi*, Teleća polovica *, Juneći obresci 80/20*, Juneća slezena*, Juneća lopatica bez kosti /vac/*, Juneće meso kocka ii. Kat.*, Juneći but bez kosti i bez koljenice /vac/*, Juneći bijeli bubrezi /vac/*, Juneći biftek /vac/, Juneći loj – smrznuto*"
https://www.halal.hrhttp://gec.hr,GEC d.o.o. Plešce,"A.MUHVIĆA BR.44 Plešce, 51303, Plešce, Croatia",Producers,"LDPE folije, LDPE vrećice"
https://www.halal.hrhttps://www.marriott.com/hotels/travel/spumd-le-meridien-lav-split/,Grand Hotel Lav d.o.o.,"Grljevačka ul. 2, 21312, Podstrana, Croatia",Hoteliers,
https://www.halal.hrhttp://www.granolio.hr,Granolio d.d.,"Budmanijeva ul. 5, 10000, Zagreb, Croatia",Producers,"Pšenično brašno iz cijelog zrna – integralno, Pšenično brašno T-1600, Raženo brašno T-1250, Pšenično brašno T-1100 crno, Raženo brašno T-950, Pšenično brašno T-850 polubijelo, Pšenično brašno T-550, Pšenično brašno T-550 namjensko za pizzu, Pšenično brašno T-550 namjensko za vučena tijesta, Pšenično brašno T-500 izvoz, Pšenično brašno T-400 namjensko za dizana tijesta, Pšenično brašno T-400 namjensko za kolače, Pšenično brašno T-400 oštro, Namjenska krupica T-400 – gris, Pšenično brašno T-400 namjensko za kremšnite, Pšenična krupica T-400, Pšenično krmno brašno, Pšenično brašno T-400 Puder za pite i kolače, Pšenično brašno T-550 Ekstra glatko, Pšenično brašno T-400 za čajna peciva, Pšenično brašno T-550 za čajna peciva, Pšenično brašno T-550 za kekse, Pšenično brašno T-550 za vafel listove, Pšenično brašno T-700 za čajna peciva, Pšenično T-700 za kekse, Pšenično T-700 za slane štapiće, Pšenično T-850 za čajna peciva, Pšenično T-850 za kekse, Pšenično brašno T-850 za slane štapiće, Pšenično brašno T-550 namjensko ekstra glatko za vafle 38., Pšenično brašno T-550 namjensko glatko za kekse 39., Pšenično brašno T-550 ekstra glatko za slane štapiće 40., Pšenično brašno T-550/400 37., Pšenično Integralno brašno eko klas, Pšenični gris T-400 eko klas, Pšenično brašno T-550 eko klas, Pšenično brašno T-1100 crno, Pšenično brašno T-550 za kornete, Brašno T-400, Brašno T-550, Brašno T-850, Brašno T-1100, Brašno integralno( od cijelog zrna), Pšenično krmno brašno, Namjensko brašno za vafle, Namjensko brašno za vučena tijesta, Namjensko brašno za kekse"
https://www.halal.hrhttps://www.grbic.hr,Grbić d.o.o.,"Mlinska ul. 90, 34000, Požega, Croatia",Producers,
https://www.halal.hrhttps://www.didaboza.hr,Hermes International d.o.o.,"Ul. Vilka Novaka 18, 42209, Sračinec, Croatia",Producers,"Ekološki džem od smokve 240 g., Ekološki džem od smokve i naranče 240 g., Ekološki džem od kupine 240 g., Ekološki džem od višnje 240 g., Ekološki džem od jagode 240 g., Ekološki džem od marelice 240 g., Pekmez od šljiva ( bez šećera ) 240 g., Ekološki čokoladni namaz-FICOCO 240 g., Domaći ajvar 200 g., Prirodni namaz od crnih maslina 190 g., Prirodni namaz od zelenih maslina 190 g., Nerafinirani ekološki šećer 600 g., Ekstra džem smokva 700 g., Ekstra džem smokva sa narančom 700 g., Ekstra džem kupina 700 g., Ekstra džem višnja 700 g., Ekstra džem jagoda 690 g., Pekmez od šljiva 690 g., Dalmatinske suhe smokve 110 g., Dalmatinske suhe smokve 210 g., Sušene goji bobice 50 g., Sušene goji bobice 100 g., Ekološki sok nar 750 ml., Ekološki sok aronija 750 ml., Ekološki sok šumska kupina 750 ml"
https://www.halal.hrhttps://hotelamfiteatar.com/,Hotel Amfiteatar,"Amfiteatarska ul. 6, 52100, Pula, Hrvatska",Hoteliers,
https://www.halal.hrhttps://www.hilton.com/en/hotels/zagzcpy-canopy-zagreb-city-centre/?SEO_id=OTHR-EMEA-PY-ZAGZCPY,Hotel Canopy by HILTON,"Ulica Kneza Branimira 29, Zagreb, HR 10000",Hoteliers,
